mp-1591, Al4C3
mp-15951, BeF2
mp-15953, P2Rh
mp-15954, As2Rh
mp-1598, Na3P
mp-15988, Li2CuSb
mp-15999, Li3AuS2
mp-160, B
mp-16236, KAgSe
mp-16264, LiCaSb
mp-16337, Ga2HgTe4
mp-1634, MoSe2
mp-1639, BN
mp-165, Si
mp-16577, Li2CaHfF8
mp-1672, CaS
mp-16742, BaAgTeF
mp-16763, KYTe2
mp-16764, RbYTe2
mp-1700, AlN
mp-1747, K2Te
mp-1778, BeO
mp-1784, CsF
mp-1794, BeO
mp-181, KGa3
mp-1873, ZnF2
mp-189, SiRu
mp-1922, RuSe2
mp-1958, SrTe
mp-1960, Li2O
mp-1968, La2O3
mp-19717, TePb
mp-19734, MgPbF6
mp-19765, In2HgTe4
mp-19795, InS
mp-19799, BaPbF6
mp-19833, InAgS2
mp-19851, KInTe2
mp-1986, ZnO
mp-20015, As2PbO6
mp-20027, FeP2
mp-20072, LaCuO2
mp-2008, FeAs2
mp-20098, Ba2PbO4
mp-20187, LiInSe2
mp-20210, Ag2PbO2
mp-20256, K3InP2
mp-20282, CsPbF3
mp-20289, NaInS2
mp-2030, RuS2
mp-20329, InAgO2
mp-20351, InP
mp-20352, Ba3In2O6
mp-20450, YCrB4
mp-20459, TiPbO3
mp-20463, CaPbF6
mp-20620, Ba2NbInO6
mp-2064, RbF
mp-2068, RhF3
mp-2072, KTe
mp-20731, In2HgSe4
mp-2074, Li3Sb
mp-20782, LiInTe2
mp-2079, Rb2P3
mp-20790, InPS4
mp-20817, GePtSe
mp-20832, Zn(InTe2)2
mp-21166, SrCaPb
mp-21228, SrCuSeF
mp-21276, PbS
mp-2133, ZnO
mp-21374, Cd(InTe2)2
mp-2150, BaTe2
mp-21510, K2NaInAs2
mp-21511, K2NaInP2
mp-2172, AlAs
mp-2175, TlF
mp-2176, ZnTe
mp-21855, VCu3Se4
mp-22003, NaN3
mp-2201, PbSe
mp-22255, RbInTe2
mp-22261, InCuTe2
mp-2229, ZnO
mp-223, GeO2
mp-22304, Cd(InSe2)2
mp-22313, Na2PtO2
mp-22323, In2O3
mp-22450, Li2PbO3
mp-22473, NaInSe2
mp-22483, NaInTe2
mp-2251, Li3N
mp-22583, KInP2S7
mp-22607, Zn(InSe2)2
mp-22660, InAgO2
mp-22851, NaCl
mp-2286, Li2Se
mp-22862, NaCl
mp-22865, CsCl
mp-22867, RbBr
mp-22875, TlBr
mp-22888, CaBr2
mp-22894, AgI
mp-22895, CuI
mp-22896, LaCl3
mp-22898, KI
mp-22899, LiI
mp-22901, KI
mp-22903, RbI
mp-22904, CaCl2
mp-22905, LiCl
mp-22906, CsBr
mp-22909, ZnCl2
mp-22913, CuBr
mp-22914, CuCl
mp-22916, NaBr
mp-22919, AgI
mp-22922, AgCl
mp-22925, AgI
mp-22934, K2PtCl4
